구,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년
강남구,561052,547453,550209,544055,537800,534103,550282,563215
강동구,440359,431920,440390,463998,466472,464037,463318,481474
강북구,328002,322915,317695,311569,302563,297702,292977,289374
강서구,608255,603611,598273,585901,579768,574638,568826,562194
관악구,520929,520040,517334,509803,499449,501226,497883,495620
광진구,372298,371063,366972,360109,352627,351252,351180,348652
구로구,441559,438486,439371,432488,421163,418418,415651,411916
금천구,253491,254021,251820,247835,244891,242818,241105,239070
노원구,558075,548160,537303,527032,514946,508014,502925,496552
도봉구,346234,341649,335631,327361,319373,313989,309494,306032
동대문구,366011,364338,363023,357014,352006,353601,359873,358603
동작구,408493,409385,408912,401572,394364,390432,389714,387352
마포구,385783,386359,385925,381858,378686,375585,375162,372745
서대문구,325028,323080,323171,322952,315659,319554,320629,318622
서초구,445401,438163,435107,429025,416167,408451,412078,413076
성동구,312711,316463,308979,300505,292672,288234,284766,281289
성북구,455407,447687,454744,447056,440142,441984,438168,435037
송파구,671173,673507,682741,673926,663965,664514,660025,656310
양천구,475018,468145,462285,457781,450487,444010,439252,434351
영등포구,402024,403600,400986,407367,400908,398085,397800,397173
용산구,244444,245090,245185,244645,237285,233284,227106,217194
은평구,491202,487666,484546,484043,477173,470602,470869,465350
종로구,164257,163026,161869,158996,153789,152211,150453,149608
중구,134593,135633,136488,134635,131787,130785,131793,131214
중랑구,412780,408147,402024,399562,391885,390140,387470,385349
